id	Stato	Regione	Provincia	Comune	value
L908	Italia	Lombardia	Sondrio	Villa di Tirano	1885
L919	Italia	Lombardia	Brescia	Villa Carcina	6221
L923	Italia	Lombardia	Brescia	Villachiara	917
L928	Italia	Lombardia	Milano	Villa Cortese	2898
L929	Italia	Lombardia	Bergamo	Villa d'Adda	1861
L936	Italia	Lombardia	Bergamo	Villa di Serio	2304
L938	Italia	Lombardia	Bergamo	Villa d'Ogna	788
L956	Italia	Lombardia	Como	Villa Guardia	3327
L977	Italia	Lombardia	Lodi	Villanova del Sillaro	1057
L994	Italia	Lombardia	Pavia	Villanterio	1906
L995	Italia	Lombardia	Brescia	Villanuova sul Clisi	3412
M017	Italia	Lombardia	Monza e della Brianza	Villasanta	5577
M044	Italia	Lombardia	Mantova	Villimpenta	1273
M045	Italia	Lombardia	Bergamo	Villongo	5292
M050	Italia	Lombardia	Bergamo	Vilminore di Scalve	622
M052	Italia	Lombardia	Monza e della Brianza	Vimercate	13508
M053	Italia	Lombardia	Milano	Vimodrone	11308
M070	Italia	Lombardia	Brescia	Visano	782
M079	Italia	Lombardia	Pavia	Vistarino	918
M091	Italia	Lombardia	Milano	Vittuone	5781
M102	Italia	Lombardia	Milano	Vizzolo Predabissi	2275
M104	Italia	Lombardia	Brescia	Vobarno	5124
M109	Italia	Lombardia	Pavia	Voghera	23093
M125	Italia	Lombardia	Mantova	Volta Mantovana	3559
M144	Italia	Lombardia	Bergamo	Zandobbio	1331
M147	Italia	Lombardia	Bergamo	Zanica	3854
M152	Italia	Lombardia	Pavia	Zeccone	675
M158	Italia	Lombardia	Lodi	Zelo Buon Persico	3702
M160	Italia	Lombardia	Milano	Zelo Surrigone	546
M167	Italia	Lombardia	Pavia	Zerbolo'	824
M176	Italia	Lombardia	Milano	Zibido San Giacomo	3444
M180	Italia	Lombardia	Pavia	Zinasco	1307
M184	Italia	Lombardia	Bergamo	Zogno	2865
M312	Italia	Lombardia	Brescia	Lonato del Garda	7542
ZZZ	Italia	Altra regione	Provincia fuori regione	ZZZ	831805
B406	Italia	Altra regione	Provincia fuori regione	B406	831805
